"","site","year","month","ppt","tmax","tmin"
"976","SSM",2004,4,35.4090003967285,23.6611995697021,8.98890018463135
"977","SSM",2004,5,3.93100023269653,30.2936992645264,13.0701999664307
"978","SSM",2004,6,1.42700004577637,35.863899230957,19.273099899292
"979","SSM",2004,7,11.5030002593994,38.2009010314941,21.8537998199463
"980","SSM",2004,8,18.7569999694824,36.4435997009277,20.0252990722656
"981","SSM",2004,9,15.2110004425049,32.5387001037598,15.6555995941162
"982","SSM",2004,10,103.916007995605,23.4272994995117,10.2288999557495
"983","SSM",2004,11,49.987003326416,15.2842998504639,2.8775999546051
"984","SSM",2004,12,49.810001373291,12.2272996902466,-0.726100027561188
"985","SSM",2005,1,99.2110061645508,12.9702997207642,2.20059990882874
"986","SSM",2005,2,79.1620025634766,14.0724000930786,3.01160001754761
"987","SSM",2005,3,53.068000793457,18.0611991882324,4.5036997795105
"988","SSM",2005,4,51.4780006408691,22.2271003723145,6.64589977264404
"989","SSM",2005,5,16.7040004730225,29.1597995758057,12.5731000900269
"990","SSM",2005,6,11.3570003509521,32.8684005737305,16.4986991882324
"991","SSM",2005,7,10.4790000915527,40.1777992248535,22.2366008758545
"992","SSM",2005,8,37.8940010070801,35.9743003845215,19.9307994842529
"993","SSM",2005,9,4.00500011444092,32.9632987976074,15.9427003860474
"994","SSM",2005,10,37.6060028076172,26.1039009094238,10.43630027771
"995","SSM",2005,11,5.70400047302246,19.1643009185791,4.03429985046387
"996","SSM",2005,12,10.6470003128052,12.9862003326416,-0.983799993991852
"997","SSM",2006,1,22.6240005493164,13.6406002044678,-0.876399993896484
"998","SSM",2006,2,2.36800003051758,16.968900680542,0.537800014019012
"999","SSM",2006,3,76.6900024414062,15.9590997695923,3.27959990501404
"1000","SSM",2006,4,23.1480007171631,23.8493995666504,8.4197998046875
"1001","SSM",2006,5,1.22500002384186,31.7488994598389,14.8642997741699
"1002","SSM",2006,6,4.75600004196167,37.214599609375,18.1551990509033
"1003","SSM",2006,7,13.2560005187988,39.2238998413086,23.3591003417969
"1004","SSM",2006,8,2.27900004386902,37.0149993896484,21.3605995178223
"1005","SSM",2006,9,12.9020004272461,31.5846996307373,15.2529001235962
"1006","SSM",2006,10,39.2840003967285,23.966100692749,9.10459995269775
"1007","SSM",2006,11,0,19.1117992401123,3.86890006065369
"1008","SSM",2006,12,20.0350017547607,11.0946998596191,-1.70099997520447
"1009","SSM",2007,1,8.59500026702881,10.8178997039795,-5.21120023727417
"1010","SSM",2007,2,14.3810005187988,16.6184005737305,1.8938000202179
"1011","SSM",2007,3,5.66400003433228,22.2670993804932,6.12580013275146
"1012","SSM",2007,4,26.3150005340576,25.0330009460449,9.15540027618408
"1013","SSM",2007,5,1.0220000743866,31.6410999298096,13.3214998245239
"1014","SSM",2007,6,2.25600004196167,37.2346992492676,16.6520004272461
"1015","SSM",2007,7,20.3300018310547,40.2723999023438,22.5293006896973
"1016","SSM",2007,8,26.7470016479492,38.0853004455566,21.3722991943359
"1017","SSM",2007,9,32.5310020446777,33.1926002502441,16.8225002288818
"1018","SSM",2007,10,0,26.0872993469238,9.60470008850098
"1019","SSM",2007,11,1.55000007152557,21.2049999237061,3.73429989814758
"1020","SSM",2007,12,74.8360061645508,9.58829975128174,-0.719500005245209
"1021","SSM",2008,1,57.1880035400391,10.1961002349854,-0.765900015830994
"1022","SSM",2008,2,46.8660011291504,13.2760000228882,0.569800019264221
"1023","SSM",2008,3,3.07900023460388,20.4409999847412,3.56609988212585
"1024","SSM",2008,4,1.27900004386902,23.6781997680664,6.3685998916626
"1025","SSM",2008,5,7.30400037765503,27.7555999755859,11.443699836731
"1026","SSM",2008,6,1.82200014591217,36.0293006896973,17.7957992553711
"1027","SSM",2008,7,20.7400016784668,38.9264984130859,23.4302997589111
"1028","SSM",2008,8,7.08000040054321,38.412899017334,21.649299621582
"1029","SSM",2008,9,1.10600006580353,34.282901763916,17.0743999481201
"1030","SSM",2008,10,11.5930004119873,27.3330993652344,8.70699977874756
"1031","SSM",2008,11,34.0010032653809,19.202299118042,5.31519985198975
"1032","SSM",2008,12,55.278003692627,9.80620002746582,-0.611999988555908
"1033","SSM",2009,1,22.8270015716553,12.745400428772,0.209600001573563
"1034","SSM",2009,2,39.0530014038086,14.4179000854492,2.36649990081787
"1035","SSM",2009,3,2.55600023269653,19.8701992034912,4.49690008163452
"1036","SSM",2009,4,5.80100011825562,22.7667007446289,7.11639976501465
"1037","SSM",2009,5,2.23200011253357,32.6184997558594,15.9628000259399
"1038","SSM",2009,6,7.59800052642822,32.9651985168457,17.9596996307373
"1039","SSM",2009,7,5.97300004959106,40.0158996582031,23.9393997192383
"1040","SSM",2009,8,3.66800022125244,37.9533004760742,21.0002994537354
"1041","SSM",2009,9,10.4440002441406,34.8194007873535,18.4314994812012
"1042","SSM",2009,10,0,23.2924003601074,8.89739990234375
"1043","SSM",2009,11,10.1300001144409,19.8393993377686,4.39529991149902
"1044","SSM",2009,12,40.1380004882812,9.07069969177246,-1.76579999923706
"1045","SSM",2010,1,74.0559997558594,11.602499961853,0.230199992656708
"1046","SSM",2010,2,66.1960067749023,13.0818996429443,2.01259994506836
"1047","SSM",2010,3,38.8610000610352,17.7773990631104,4.14190006256104
"1048","SSM",2010,4,27.3400020599365,22.0245990753174,6.53259992599487
"1049","SSM",2010,5,1.37600004673004,26.1501007080078,10.1309995651245
"1050","SSM",2010,6,18.9120006561279,35.2252998352051,19.0198993682861
"1051","SSM",2010,7,15.6000003814697,39.136100769043,22.1557998657227
"1052","SSM",2010,8,41.976001739502,36.5533981323242,20.3859996795654
"1053","SSM",2010,9,0.428000032901764,34.8502006530762,16.8780994415283
"1054","SSM",2010,10,72.5419998168945,24.4218006134033,11.252799987793
"1055","SSM",2010,11,29.0170021057129,15.3115997314453,2.06500005722046
"1056","SSM",2010,12,138.634002685547,12.2358999252319,1.8614000082016
"1057","SSM",2011,1,1.42200005054474,11.1730003356934,-2.09400010108948
"1058","SSM",2011,2,55.8350028991699,12.2800998687744,-0.612299978733063
"1059","SSM",2011,3,28.4570007324219,17.9708003997803,4.54169988632202
"1060","SSM",2011,4,25.4570007324219,21.7917003631592,6.90070009231567
"1061","SSM",2011,5,18.4270000457764,25.1884994506836,9.41829967498779
"1062","SSM",2011,6,0,33.8730010986328,16.5447006225586
"1063","SSM",2011,7,11.6120004653931,37.065299987793,21.5308990478516
"1064","SSM",2011,8,0.919000029563904,38.6423988342285,22.0337009429932
"1065","SSM",2011,9,25.306001663208,33.4858016967773,17.2819995880127
"1066","SSM",2011,10,39.5069999694824,25.323600769043,9.43280029296875
"1067","SSM",2011,11,15.0500011444092,16.2485008239746,2.56419992446899
"1068","SSM",2011,12,10.0460004806519,10.4525003433228,-2.22749996185303
"1069","SSM",2012,1,20.0090007781982,13.3081998825073,-1.13740003108978
"1070","SSM",2012,2,35.0060005187988,13.9642000198364,1.19229996204376
"1071","SSM",2012,3,14.4530010223389,19.207799911499,3.9210000038147
"1072","SSM",2012,4,17.1630001068115,24.6520004272461,9.14210033416748
"1073","SSM",2012,5,0,31.1429996490479,14.2467002868652
"1074","SSM",2012,6,0,37.0707015991211,19.5186004638672
"1075","SSM",2012,7,33.5820007324219,37.0223999023438,22.1529006958008
"1076","SSM",2012,8,39.6740036010742,37.236400604248,21.7684993743896
"1077","SSM",2012,9,22.3880004882812,33.5969009399414,17.7726993560791
"1078","SSM",2012,10,21.8570003509521,26.588399887085,10.7784996032715
"1079","SSM",2012,11,5.32400035858154,20.0757007598877,4.8060998916626
"1080","SSM",2012,12,36.5780029296875,11.2968997955322,0.999300003051758
"1081","SSM",2013,1,22.2980003356934,9.91129970550537,-3.32159996032715
"1082","SSM",2013,2,10.9250001907349,13.5296001434326,-0.446099996566772
"1083","SSM",2013,3,17.1870002746582,21.4167003631592,6.07229995727539
"1084","SSM",2013,4,8.14700031280518,24.0897006988525,8.36089992523193
"1085","SSM",2013,5,6.74100017547607,29.3460006713867,12.8401002883911
"1086","SSM",2013,6,0,37.673999786377,18.2355995178223
"1087","SSM",2013,7,34.9029998779297,38.771900177002,23.4951000213623
"1088","SSM",2013,8,33.576000213623,36.4133987426758,20.4393997192383
"1089","SSM",2013,9,69.5260009765625,30.7339000701904,16.1573009490967
"1090","SSM",2013,10,11.2370004653931,23.5004997253418,7.94080018997192
"1091","SSM",2013,11,34.4770011901855,17.5265998840332,3.41799998283386
"1092","SSM",2013,12,18.7240009307861,9.28279972076416,-3.69930005073547
"1093","SSM",2014,1,11.8150005340576,14.997200012207,0.0183000005781651
"1094","SSM",2014,2,17.0690002441406,16.4102001190186,2.65000009536743
"1095","SSM",2014,3,15.6540002822876,20.2008991241455,5.36089992523193
"1096","SSM",2014,4,16.3980007171631,24.5699996948242,9.09270000457764
"1097","SSM",2014,5,6.88000011444092,29.2191009521484,12.9320001602173
"1098","SSM",2014,6,0,36.0928993225098,17.589599609375
"1099","SSM",2014,7,19.306999206543,38.2518997192383,21.5167999267578
"1100","SSM",2014,8,63.4519996643066,34.0373992919922,19.6608009338379
